Tournament,Date_First,Date_Last,N_Teams_EUF,N_Teams_All,N_Games
Mixed Imperial,2023-03-25,2023-03-26,17,17,54
Grey Towers,2023-06-17,2023-06-18,9,9,26
Mooxed,2023-06-17,2023-06-18,19,19,54
TOWWAPM,2023-07-15,2023-07-16,30,30,85
Regionals North,2023-07-29,2023-07-30,8,8,20
Regionals South,2023-07-29,2023-07-30,10,10,33
Nationals,2023-08-27,2023-08-28,12,12,30
