Team,Tournaments,Games,Wins,Losses,W_Ratio,Opponent_W_Ratio,Goals_For,Goals_Against,Avg_Point_Diff,Component,Interconnectivity,Eligible
GB U24 Women,1,5,5,0,1.0,0.52,65,35,6.0,1.0,17,1
YAKA,1,6,5,1,0.8333333333333334,0.47500000000000003,85,55,5.0,1.0,15,1
Iceni,2,10,8,2,0.8,0.5378787878787878,130,66,6.4,1.0,18,1
Spice,3,16,12,4,0.75,0.43514610389610386,175,120,3.4375,1.0,22,1
Brixton Women,1,7,5,2,0.7142857142857143,0.3833642547928262,58,38,2.857142857142857,1.0,20,1
GB U20 Women,1,6,4,2,0.6666666666666666,0.42857142857142855,50,41,1.5,1.0,14,1
Brighton Women,1,6,4,2,0.6666666666666666,0.3277777777777778,53,33,3.3333333333333335,1.0,14,1
Gentle,1,5,3,2,0.6,0.4890909090909091,49,60,-2.2,1.0,17,1
SYC,3,15,9,6,0.6,0.515093795093795,126,134,-0.5333333333333333,1.0,22,1
Thundering Her,1,7,4,3,0.5714285714285714,0.4728200371057514,46,53,-1.0,1.0,21,1
SMOG Women,2,11,6,5,0.5454545454545454,0.5441558441558442,110,90,1.8181818181818181,1.0,22,1
KFUM Örebro Frisbee,1,6,3,3,0.5,0.49722222222222223,74,73,0.16666666666666666,1.0,15,1
LMU Overground,3,15,7,8,0.4666666666666667,0.5041414141414141,143,139,0.26666666666666666,1.0,21,1
Bristol Women,1,5,2,3,0.4,0.7124242424242424,48,52,-0.8,1.0,17,1
FRed,1,6,2,4,0.3333333333333333,0.3833333333333333,39,50,-1.8333333333333333,1.0,14,1
Horizon Sun,1,6,2,4,0.3333333333333333,0.7551587301587301,48,56,-1.3333333333333333,1.0,22,1
Dublin Gravity Women,1,6,2,4,0.3333333333333333,0.525,62,73,-1.8333333333333333,1.0,17,1
Horizon Moon,1,6,2,4,0.3333333333333333,0.5797979797979798,42,54,-2.0,1.0,20,1
LMU Underground,2,10,3,7,0.3,0.4435714285714286,57,69,-1.2,1.0,22,1
South Wales Storm - Women,1,6,1,5,0.16666666666666666,0.4587301587301587,20,56,-6.0,1.0,14,1
Chameleons,1,6,1,5,0.16666666666666666,0.4587301587301587,23,50,-4.5,1.0,14,1
Flame,1,5,0,5,0.0,0.6024242424242424,25,75,-10.0,1.0,17,1
Horizon,2,9,0,9,0.0,0.5555555555555556,51,107,-6.222222222222222,1.0,21,1
